127.0.0.1, 2012-07-10 15:41:54, GET, /admin/default/design/testGeogebraApp, HTTP/1.1, 200, 0.146666
127.0.0.1, 2012-07-10 15:41:54, GET, /admin/static/css/calendar.css, HTTP/1.1, 304, 0.000953
127.0.0.1, 2012-07-10 15:41:54, GET, /admin/static/plugin_multiselect/jquery.multiselect.css, HTTP/1.1, 304, 0.000510
127.0.0.1, 2012-07-10 15:41:54, GET, /admin/static/css/styles.css, HTTP/1.1, 304, 0.002405
127.0.0.1, 2012-07-10 15:41:54, GET, /admin/static/js/jquery.js, HTTP/1.1, 304, 0.000732
127.0.0.1, 2012-07-10 15:41:54, GET, /admin/static/js/web2py.js, HTTP/1.1, 304, 0.002598
127.0.0.1, 2012-07-10 15:41:54, GET, /admin/static/plugin_multiselect/jquery.dimensions.js, HTTP/1.1, 304, 0.000634
127.0.0.1, 2012-07-10 15:41:54, GET, /admin/static/plugin_multiselect/jquery.multiselect.js, HTTP/1.1, 304, 0.000635
127.0.0.1, 2012-07-10 15:41:54, GET, /admin/static/plugin_multiselect/start.js, HTTP/1.1, 304, 0.000538
127.0.0.1, 2012-07-10 15:41:54, GET, /admin/static/js/calendar.js, HTTP/1.1, 304, 0.011599
127.0.0.1, 2012-07-10 15:41:54, GET, /admin/static/images/search.png, HTTP/1.1, 304, 0.000648
127.0.0.1, 2012-07-10 15:41:54, GET, /admin/static/images/delete_icon.png, HTTP/1.1, 304, 0.000545
127.0.0.1, 2012-07-10 15:41:54, GET, /admin/static/images/help.png, HTTP/1.1, 304, 0.002838
127.0.0.1, 2012-07-10 15:41:54, GET, /admin/static/images/test_icon.png, HTTP/1.1, 304, 0.000560
127.0.0.1, 2012-07-10 15:41:55, GET, /favicon.ico, HTTP/1.1, 400, 0.000533
127.0.0.1, 2012-07-10 15:41:57, GET, /admin/default/design/testGeogebraApp, HTTP/1.1, 200, 0.147721
127.0.0.1, 2012-07-10 15:41:57, GET, /admin/static/plugin_multiselect/jquery.multiselect.css, HTTP/1.1, 304, 0.000991
127.0.0.1, 2012-07-10 15:41:57, GET, /admin/static/css/styles.css, HTTP/1.1, 304, 0.000943
127.0.0.1, 2012-07-10 15:41:57, GET, /admin/static/css/calendar.css, HTTP/1.1, 304, 0.000482
127.0.0.1, 2012-07-10 15:41:57, GET, /admin/static/plugin_multiselect/jquery.dimensions.js, HTTP/1.1, 304, 0.002492
127.0.0.1, 2012-07-10 15:41:57, GET, /admin/static/plugin_multiselect/jquery.multiselect.js, HTTP/1.1, 304, 0.001714
127.0.0.1, 2012-07-10 15:41:57, GET, /admin/static/js/web2py.js, HTTP/1.1, 304, 0.002203
127.0.0.1, 2012-07-10 15:41:57, GET, /admin/static/js/calendar.js, HTTP/1.1, 304, 0.005031
127.0.0.1, 2012-07-10 15:41:57, GET, /admin/static/plugin_multiselect/start.js, HTTP/1.1, 304, 0.009302
127.0.0.1, 2012-07-10 15:41:57, GET, /admin/static/js/jquery.js, HTTP/1.1, 304, 0.000585
127.0.0.1, 2012-07-10 15:41:57, GET, /admin/static/images/search.png, HTTP/1.1, 304, 0.001748
127.0.0.1, 2012-07-10 15:41:57, GET, /admin/static/images/help.png, HTTP/1.1, 304, 0.000485
127.0.0.1, 2012-07-10 15:41:57, GET, /admin/static/images/delete_icon.png, HTTP/1.1, 304, 0.000475
127.0.0.1, 2012-07-10 15:41:57, GET, /admin/static/images/test_icon.png, HTTP/1.1, 304, 0.000476
127.0.0.1, 2012-07-10 15:41:57, GET, /favicon.ico, HTTP/1.1, 400, 0.000537
127.0.0.1, 2012-07-10 15:42:46, GET, /admin/default/design/testGeogebraApp, HTTP/1.1, 200, 0.145793
127.0.0.1, 2012-07-10 15:42:46, GET, /admin/static/css/styles.css, HTTP/1.1, 304, 0.001191
127.0.0.1, 2012-07-10 15:42:46, GET, /admin/static/css/calendar.css, HTTP/1.1, 304, 0.002089
127.0.0.1, 2012-07-10 15:42:46, GET, /admin/static/plugin_multiselect/jquery.multiselect.css, HTTP/1.1, 304, 0.001117
127.0.0.1, 2012-07-10 15:42:46, GET, /admin/static/js/jquery.js, HTTP/1.1, 304, 0.000750
127.0.0.1, 2012-07-10 15:42:46, GET, /admin/static/js/calendar.js, HTTP/1.1, 304, 0.000845
127.0.0.1, 2012-07-10 15:42:46, GET, /admin/static/plugin_multiselect/start.js, HTTP/1.1, 304, 0.000582
127.0.0.1, 2012-07-10 15:42:46, GET, /admin/static/js/web2py.js, HTTP/1.1, 304, 0.000531
127.0.0.1, 2012-07-10 15:42:46, GET, /admin/static/plugin_multiselect/jquery.multiselect.js, HTTP/1.1, 304, 0.001151
127.0.0.1, 2012-07-10 15:42:46, GET, /admin/static/plugin_multiselect/jquery.dimensions.js, HTTP/1.1, 304, 0.000514
127.0.0.1, 2012-07-10 15:42:46, GET, /admin/static/images/start.png, HTTP/1.1, 304, 0.001970
127.0.0.1, 2012-07-10 15:42:46, GET, /admin/static/images/menu.png, HTTP/1.1, 304, 0.000533
127.0.0.1, 2012-07-10 15:42:46, GET, /admin/static/images/search.png, HTTP/1.1, 304, 0.000854
127.0.0.1, 2012-07-10 15:42:46, GET, /admin/static/images/header_bg.png, HTTP/1.1, 304, 0.004102
127.0.0.1, 2012-07-10 15:42:46, GET, /admin/static/images/section_bullet.png, HTTP/1.1, 304, 0.002082
127.0.0.1, 2012-07-10 15:42:46, GET, /admin/static/images/sidebar_bullet.gif, HTTP/1.1, 304, 0.004802
