127.0.0.1, 2012-07-10 21:44:58, GET, /admin/default/edit/testGeogebraApp/static/geoApp.html, HTTP/1.1, 200, 0.059731
127.0.0.1, 2012-07-10 21:44:58, GET, /favicon.ico, HTTP/1.1, 400, 0.000542
127.0.0.1, 2012-07-10 21:44:58, GET, /favicon.ico, HTTP/1.1, 400, 0.000466
127.0.0.1, 2012-07-10 21:45:08, GET, /admin/default/keepalive, HTTP/1.1, 200, 0.039267
127.0.0.1, 2012-07-10 21:45:43, POST, /admin/default/edit/testGeogebraApp/static/geoApp.html, HTTP/1.1, 200, 0.039563
127.0.0.1, 2012-07-10 21:45:46, GET, /admin/default/design/testGeogebraApp, HTTP/1.1, 200, 0.412811
127.0.0.1, 2012-07-10 21:45:46, GET, /favicon.ico, HTTP/1.1, 400, 0.000578
127.0.0.1, 2012-07-10 21:45:51, GET, /admin/default/peek/testGeogebraApp/views/default/applet.html, HTTP/1.1, 200, 0.047313
127.0.0.1, 2012-07-10 21:45:51, GET, /favicon.ico, HTTP/1.1, 400, 0.000564
127.0.0.1, 2012-07-10 21:45:53, GET, /admin/default/edit/testGeogebraApp/views/default/applet.html, HTTP/1.1, 200, 0.057025
127.0.0.1, 2012-07-10 21:45:54, GET, /favicon.ico, HTTP/1.1, 400, 0.000543
127.0.0.1, 2012-07-10 21:45:54, GET, /favicon.ico, HTTP/1.1, 400, 0.000537
127.0.0.1, 2012-07-10 21:45:55, GET, /testGeogebraApp/default/applet, HTTP/1.1, 200, 0.037445
127.0.0.1, 2012-07-10 21:45:55, GET, /testGeogebraApp/static/js/applet/Action.js, HTTP/1.1, 200, 0.000774
127.0.0.1, 2012-07-10 21:45:55, GET, /testGeogebraApp/static/js/applet/Robot.js, HTTP/1.1, 200, 0.000538
127.0.0.1, 2012-07-10 21:45:55, GET, /testGeogebraApp/static/js/applet/utilities.js, HTTP/1.1, 200, 0.001369
127.0.0.1, 2012-07-10 21:45:55, GET, /testGeogebraApp/static/js/applet/playingField.js, HTTP/1.1, 200, 0.001852
127.0.0.1, 2012-07-10 21:45:55, GET, /testGeogebraApp/static/jst/applet/mainSean.js, HTTP/1.1, 404, 0.000649
127.0.0.1, 2012-07-10 21:46:00, GET, /testGeogebraApp/static/jars/geogebra.jar, HTTP/1.1, 304, 0.000624
127.0.0.1, 2012-07-10 21:46:00, GET, /testGeogebraApp/static/jars/geogebra_main.jar, HTTP/1.1, 304, 0.000623
127.0.0.1, 2012-07-10 21:46:00, GET, /testGeogebraApp/static/jars/geogebra_gui.jar, HTTP/1.1, 304, 0.000652
127.0.0.1, 2012-07-10 21:46:01, GET, /testGeogebraApp/static/jars/geogebra_properties.jar, HTTP/1.1, 304, 0.000739
127.0.0.1, 2012-07-10 21:46:01, GET, /testGeogebraApp/static/jars/geogebra_export.jar, HTTP/1.1, 304, 0.000646
127.0.0.1, 2012-07-10 21:46:01, GET, /testGeogebraApp/static/jars/geogebra_cas.jar, HTTP/1.1, 304, 0.000629
127.0.0.1, 2012-07-10 21:46:01, GET, /testGeogebraApp/static/jars/geogebra_algos.jar, HTTP/1.1, 304, 0.000662
127.0.0.1, 2012-07-10 21:46:01, GET, /testGeogebraApp/static/jars/geogebra_javascript.jar, HTTP/1.1, 304, 0.000682
127.0.0.1, 2012-07-10 21:46:01, GET, /testGeogebraApp/static/jars/geogebra_usb.jar, HTTP/1.1, 304, 0.000682
127.0.0.1, 2012-07-10 21:46:01, GET, /testGeogebraApp/static/jars/jlatexmath.jar, HTTP/1.1, 304, 0.000734
127.0.0.1, 2012-07-10 21:46:01, GET, /testGeogebraApp/static/jars/jlm_greek.jar, HTTP/1.1, 304, 0.000643
127.0.0.1, 2012-07-10 21:46:01, GET, /testGeogebraApp/static/jars/jlm_cyrillic.jar, HTTP/1.1, 404, 0.000616
127.0.0.1, 2012-07-10 21:46:01, GET, /testGeogebraApp/static/jars/jlm_cyrillic.jar, HTTP/1.1, 404, 0.000591
